Time,Disturbance
0.0000,-0.0960
0.0200,-0.2812
0.0400,-0.5096
0.0600,-0.7058
0.0800,-0.8377
0.1000,-0.9248
0.1200,-0.9914
0.1400,-1.0668
0.1600,-1.1829
0.1800,-1.3302
0.2000,-1.4581
0.2200,-1.5112
0.2400,-1.4982
0.2600,-1.4691
0.2800,-1.4527
0.3000,-1.4755
0.3200,-1.5409
0.3400,-1.6285
0.3600,-1.7175
0.3800,-1.8004
0.4000,-1.8562
0.4200,-1.8732
0.4400,-1.8496
0.4600,-1.7906
0.4800,-1.7067
0.5000,-1.6147
0.5200,-1.5242
0.5400,-1.4210
0.5600,-1.2954
0.5800,-1.1582
0.6000,-1.0341
0.6200,-0.9385
0.6400,-0.8888
0.6600,-0.8847
0.6800,-0.9019
0.7000,-0.9098
0.7200,-0.8898
0.7400,-0.8532
0.7600,-0.8141
0.7800,-0.7809
0.8000,-0.7646
0.8200,-0.7586
0.8400,-0.7397
0.8600,-0.6919
0.8800,-0.6286
0.9000,-0.5500
0.9200,-0.4444
0.9400,-0.3089
0.9600,-0.1552
0.9800,0.0000
1.0000,0.1543
1.0200,0.3046
1.0400,0.4374
1.0600,0.5475
1.0800,0.6452
1.1000,0.7476
1.1200,0.8574
1.1400,0.9600
1.1600,1.0664
1.1800,1.1918
1.2000,1.3325
1.2200,1.4671
1.2400,1.5806
1.2600,1.6727
1.2800,1.7231
1.3000,1.7141
1.3200,1.6513
1.3400,1.5617
1.3600,1.4677
1.3800,1.3457
1.4000,1.1946
1.4200,1.0710
1.4400,1.0179
1.4600,1.0304
1.4800,1.0667
1.5000,1.0999
1.5200,1.1123
1.5400,1.0668
1.5600,0.9551
1.5800,0.8131
1.6000,0.6886
1.6200,0.5745
1.6400,0.4485
1.6600,0.3272
1.6800,0.2287
1.7000,0.1578
1.7200,0.1048
1.7400,0.0597
1.7600,0.0241
1.7800,-0.0102
1.8000,-0.0539
1.8200,-0.1053
1.8400,-0.1498
1.8600,-0.1748
1.8800,-0.1964
1.9000,-0.2194
1.9200,-0.2158
1.9400,-0.1680
1.9600,-0.0872
1.9800,0.0000
2.0000,0.0869
2.0200,0.1666
2.0400,0.2123
2.0600,0.2137
2.0800,0.1897
2.1000,0.1701
2.1200,0.1548
2.1400,0.1427
2.1600,0.1394
2.1800,0.1410
2.2000,0.1402
2.2200,0.1333
2.2400,0.1229
2.2600,0.0826
2.2800,0.0210
2.3000,-0.0065
2.3200,0.0348
2.3400,0.1343
2.3600,0.2582
2.3800,0.3518
2.4000,0.3636
2.4200,0.3387
2.4400,0.3537
2.4600,0.4583
2.4800,0.6400
2.5000,0.8228
2.5200,0.9333
2.5400,0.9423
2.5600,0.8793
2.5800,0.8157
2.6000,0.8066
2.6200,0.8070
2.6400,0.7349
2.6600,0.5991
2.6800,0.4548
2.7000,0.3563
2.7200,0.3234
2.7400,0.3255
2.7600,0.3139
2.7800,0.2457
2.8000,0.1025
2.8200,-0.0830
2.8400,-0.2425
2.8600,-0.3335
2.8800,-0.3705
2.9000,-0.3499
2.9200,-0.2813
2.9400,-0.1864
